,Company_name,Rating,Tags,Employees,Company_types,Age
0,TCS, 3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old 
1,Accenture, 4.0,IT Services & Consulting , 1 Lakh+ Employees , Public , 35 years old 
2,Cognizant, 3.9,IT Services & Consulting , 1 Lakh+ Employees , Forbes Global 2000 , 30 years old 
3,Wipro, 3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 79 years old 
4,Capgemini, 3.9,IT Services & Consulting , 1 Lakh+ Employees , Public , 57 years old 
5,HDFC Bank, 4.0,Banking , 1 Lakh+ Employees , Public , 30 years old 
6,ICICI Bank, 4.0,Banking , 1 Lakh+ Employees , Public , 30 years old 
7,Infosys, 3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old 
8,HCLTech, 3.7,IT Services & Consulting , 1 Lakh+ Employees , Public , 33 years old 
9,Tech Mahindra, 3.7,IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old 
10,Genpact, 3.9,IT Services & Consulting , 1 Lakh+ Employees , Public , 27 years old 
11,Axis Bank, 3.9,Banking , 50k-1 Lakh Employees , Public , 31 years old 
12,Teleperformance, 3.6,BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old 
13,Concentrix Corporation, 3.9,BPO , 50k-1 Lakh Employees , Public , 41 years old 
14,Jio, 4.0,Telecom , 50k-1 Lakh Employees , Public , 17 years old 
15,Amazon, 4.1,Internet , 1 Lakh+ Employees , Public , 30 years old 
16,IBM, 4.1,IT Services & Consulting , 1 Lakh+ Employees , Public , 113 years old 
17,Reliance Retail, 4.0,Retail , 1 Lakh+ Employees , 18 years old , Navi Mumbai +997 more
18,HDB Financial Services, 4.0,NBFC , 1 Lakh+ Employees , 17 years old , Ahmedabad +947 more
19,Larsen & Toubro Limited, 4.1,Engineering & Construction , 10k-50k Employees , Public , 86 years old 
20,Vodafone Idea, 4.2,Telecom , 5k-10k Employees , Public , 6 years old 
21,BYJU'S, 3.1,EdTech , 10k-50k Employees , Indian Unicorn , 13 years old 
22,Kotak Mahindra Bank, 3.8,Banking , 50k-1 Lakh Employees , Public , 21 years old 
23,Deloitte, 3.9,Management Consulting , 1 Lakh+ Employees , 179 years old , Pune +149 more
24,Reliance Industries, 4.1,Oil & Gas , 1 Lakh+ Employees , Public , 47 years old 
25,iEnergizer, 4.7,BPO , 10k-50k Employees , 24 years old , Pune +30 more
26,Bharti Airtel, 4.1,Telecom , 10k-50k Employees , Public , 29 years old 
27,Tata Motors, 4.2,Automobile , 10k-50k Employees , Public , 79 years old 
28,WNS, 3.5,BPO , 10k-50k Employees , 28 years old , Pune +37 more
29,Flipkart, 4.1,Internet , 10k-50k Employees , Public , 17 years old 
30,IndusInd Bank, 3.7,Banking , 10k-50k Employees , Public , 30 years old 
31,Ernst & Young, 3.6,Management Consulting , 50k-1 Lakh Employees , 22 years old , Pune +96 more
32,AU Small Finance Bank, 4.5,Banking , 10k-50k Employees , Fortune India 500 , 28 years old 
33,Mahindra & Mahindra, 4.2,Automobile , 1 Lakh+ Employees , Public , 79 years old 
34,Infosys BPM, 3.8,BPO , 10k-50k Employees , 22 years old , Pune +68 more
35,DXC Technology, 3.8,IT Services & Consulting , 10k-50k Employees , Public , 7 years old 
